hour_utc,avg_volume,avg_range,count
15,1309005.774640073,0.009098466666666666,30
17,1288942.8248793287,0.006237299999999998,30
14,1115220.240995494,0.007005233333333331,30
16,998382.242395758,0.007693000000000005,30
19,897887.2427461379,0.004983900000000004,30
18,883722.3947042427,0.005625999999999994,30
2,851824.3982091993,0.004513193548387088,31
20,644544.2488874528,0.004802933333333316,30
13,641008.6306230194,0.0052774666666666695,30
12,627239.8070495973,0.004836766666666662,30
0,600641.580681372,0.005759333333333333,30
21,598862.4574010611,0.005490833333333334,30
4,594003.7931358797,0.0045780666666666615,30
11,593517.1183031624,0.004602233333333335,30
22,590557.008592974,0.005300600000000002,30
7,518642.9146351247,0.004677166666666662,30
3,479947.87779824535,0.003972433333333334,30
6,476730.43451824837,0.0044326666666666716,30
1,442853.126366676,0.004804833333333325,30
23,421832.7164103137,0.005027466666666671,30
10,380725.4552554576,0.0036211333333333335,30
5,339697.0387351683,0.00406733333333333,30
8,326982.6140385847,0.0044640333333333376,30
9,318962.9014257103,0.004659466666666667,30
